operator;operatorQID;jurisdictions;jurisdictionQIDs;country;countryQID;city;cityQID;latitude;longitude;phone;email;website;facebook;twitter;youtube;picture;pictureAuthor;pictureLicense;pictureLicenseURL;type;typeQID;creation;QID
Guinea;http://www.wikidata.org/entity/Q1006;Egypt|Cyprus;http://www.wikidata.org/entity/Q79|http://www.wikidata.org/entity/Q229;Egypt;http://www.wikidata.org/entity/Q79;Giza;http://www.wikidata.org/entity/Q81788;30.0698;31.2217;;;;Ambassade-de-Guinée-au-Caire-1530473600498986;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q109780484
Guinea;http://www.wikidata.org/entity/Q1006;;;Equatorial Guinea;http://www.wikidata.org/entity/Q983;;;3.7519006;8.7731526;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207231
Guinea;http://www.wikidata.org/entity/Q1006;;;Ethiopia;http://www.wikidata.org/entity/Q115;;;9.0050983;38.7893533;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207229
Guinea;http://www.wikidata.org/entity/Q1006;Portugal|France|Israel;http://www.wikidata.org/entity/Q45|http://www.wikidata.org/entity/Q142|http://www.wikidata.org/entity/Q801;France;http://www.wikidata.org/entity/Q142;Paris;http://www.wikidata.org/entity/Q90;48.869;2.27622;;;https://fr.ambaguinee.org/;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Guinean%20embassy%20in%20Paris.jpg;Pymouss44>Pymouss</a>;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q16303658
Guinea;http://www.wikidata.org/entity/Q1006;Germany|Czech Republic|Vatican City|Norway|Sweden|Poland|Denmark|Austria;http://www.wikidata.org/entity/Q183|http://www.wikidata.org/entity/Q213|http://www.wikidata.org/entity/Q237|http://www.wikidata.org/entity/Q20|http://www.wikidata.org/entity/Q34|http://www.wikidata.org/entity/Q36|http://www.wikidata.org/entity/Q35|http://www.wikidata.org/entity/Q40;Germany;http://www.wikidata.org/entity/Q183;Berlin;http://www.wikidata.org/entity/Q64;52.514;13.3874;;;http://www.amba-guinee.de/;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Berlin%20-%20Botschaften%20von%20Guinea%20und%20Rwanda%2020191028.jpg;Pymouss>Pymouss</a>;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q60855260
Guinea;http://www.wikidata.org/entity/Q1006;;;Ghana;http://www.wikidata.org/entity/Q117;;;5.5571096;-0.2012376;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207210
Guinea;http://www.wikidata.org/entity/Q1006;;;Guinea-Bissau;http://www.wikidata.org/entity/Q1007;;;11.861324;-15.583055;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207233
Guinea;http://www.wikidata.org/entity/Q1006;;;India;http://www.wikidata.org/entity/Q668;;;28.5606906;77.1607907;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207235
Guinea;http://www.wikidata.org/entity/Q1006;India;http://www.wikidata.org/entity/Q668;India;http://www.wikidata.org/entity/Q668;New Delhi;http://www.wikidata.org/entity/Q987;28.56757;77.16276;;;https://www.ambaguineedelhi.com/;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q112596254
Guinea;http://www.wikidata.org/entity/Q1006;Iran;http://www.wikidata.org/entity/Q794;Iran;http://www.wikidata.org/entity/Q794;Tehran;http://www.wikidata.org/entity/Q3616;35.7174;51.4398;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207237
